24.0,30
22.0,27
18.0,26
19.0,25
30.0,25
28.0,25
21.0,24
25.0,23
36.0,22
29.0,20
32.0,18
27.0,18
35.0,18
26.0,18
16.0,17
31.0,17
20.0,15
33.0,15
23.0,15
34.0,15
39.0,14
17.0,13
42.0,13
40.0,13
45.0,12
38.0,11
50.0,10
2.0,10
4.0,10
47.0,9
44.0,9
48.0,9
54.0,8
9.0,8
1.0,7
51.0,7
52.0,6
14.0,6
3.0,6
49.0,6
41.0,6
37.0,6
15.0,5
43.0,5
58.0,5
11.0,4
62.0,4
60.0,4
8.0,4
56.0,4
5.0,4
46.0,3
65.0,3
7.0,3
6.0,3
61.0,3
55.0,2
28.5,2
71.0,2
59.0,2
63.0,2
0.83,2
30.5,2
70.0,2
57.0,2
0.75,2
13.0,2
10.0,2
64.0,2
40.5,2
32.5,2
45.5,2
20.5,1
24.5,1
0.67,1
14.5,1
0.92,1
74.0,1
34.5,1
80.0,1
12.0,1
36.5,1
53.0,1
55.5,1
70.5,1
66.0,1
23.5,1
0.42,1
